id,race_date,race_key,rank,pred_combo,n_combos,hit,payout,bet_amount,route,miwokuri,prerace_gami,trio_payout,gap23,trifecta_payout,gap12,gap34,gate_label,win_rank,ratio
862316,2024-01-01,20240101_24_01#7B,RANK_7B,"1=3-5,7,6 (axis_sum=1.2)",3,0,0,300,wt,False,,1670,,0,,,,,
862204,2024-01-01,20240101_35_02#7B,RANK_7B,"2=4-5,1,3 (axis_sum=1.1)",3,0,0,300,wt,False,,680,,0,,,,,
862300,2024-01-01,20240101_56_09#7B,RANK_7B,"2=4-1,5,3 (axis_sum=1.2)",3,0,0,300,wt,False,,4980,,0,,,,,
862239,2024-01-01,20240101_83_09#7B,RANK_7B,"7=1-3,6,4 (axis_sum=1.6)",3,0,0,300,wt,False,,480,,0,,,,,
862327,2024-01-02,20240102_24_02#7B,RANK_7B,"1=2-4,7,5 (axis_sum=1.0)",3,0,0,300,wt,False,,610,,0,,,,,
862256,2024-01-02,20240102_35_08#7B,RANK_7B,"7=1-3,4,5 (axis_sum=1.4)",3,0,0,300,wt,False,,340,,0,,,,,
862200,2024-01-02,20240102_44_09#7B,RANK_7B,"1=5-3,2,7 (axis_sum=1.4)",3,1,360,300,wt,False,,360,,0,,,,,
862324,2024-01-02,20240102_44_12#7B,RANK_7B,"5=1-7,2,3 (axis_sum=1.1)",3,1,610,300,wt,False,,610,,0,,,,,
862258,2024-01-02,20240102_56_04#7B,RANK_7B,"3=1-5,2,6 (axis_sum=1.6)",3,0,0,300,wt,False,,450,,0,,,,,
862274,2024-01-02,20240102_83_09#7B,RANK_7B,"2=5-4,3,7 (axis_sum=1.1)",3,1,920,300,wt,False,,920,,0,,,,,
862169,2024-01-03,20240103_45_11#7B,RANK_7B,"7=3-1,2,6 (axis_sum=1.6)",3,1,640,300,wt,False,,640,,0,,,,,
862308,2024-01-03,20240103_56_11#7B,RANK_7B,"5=2-1,3,4 (axis_sum=1.2)",3,1,1200,300,wt,False,,1200,,0,,,,,
862273,2024-01-03,20240103_74_09#7B,RANK_7B,"1=2-4,5,3 (axis_sum=1.3)",3,0,0,300,wt,False,,4630,,0,,,,,
862165,2024-01-03,20240103_86_10#7B,RANK_7B,"7=2-4,5,6 (axis_sum=1.7)",3,0,0,300,wt,False,,1300,,0,,,,,
862217,2024-01-03,20240103_86_11#7B,RANK_7B,"5=1-3,7,6 (axis_sum=1.5)",3,1,430,300,wt,False,,430,,0,,,,,
862325,2024-01-04,20240104_35_07#7B,RANK_7B,"1=2-4,3,5 (axis_sum=1.3)",3,0,0,300,wt,False,,2570,,0,,,,,
862306,2024-01-04,20240104_35_10#7B,RANK_7B,"3=2-7,4,5 (axis_sum=1.3)",3,0,0,300,wt,False,,900,,0,,,,,
862267,2024-01-04,20240104_45_04#7B,RANK_7B,"2=3-7,1,4 (axis_sum=1.4)",3,1,260,300,wt,False,,260,,0,,,,,
862154,2024-01-04,20240104_61_06#7B,RANK_7B,"2=1-3,5,6 (axis_sum=1.7)",3,1,350,300,wt,False,,350,,0,,,,,
862298,2024-01-04,20240104_74_10#7B,RANK_7B,"4=1-3,7,2 (axis_sum=1.2)",3,0,0,300,wt,False,,1580,,0,,,,,
862276,2024-01-05,20240105_45_09#7B,RANK_7B,"3=4-2,7,5 (axis_sum=1.5)",3,0,0,300,wt,False,,490,,0,,,,,
862211,2024-01-05,20240105_61_02#7B,RANK_7B,"3=2-5,1,7 (axis_sum=1.6)",3,0,0,300,wt,False,,1690,,0,,,,,
862266,2024-01-05,20240105_61_09#7B,RANK_7B,"1=3-2,5,7 (axis_sum=1.3)",3,0,0,300,wt,False,,6730,,0,,,,,
862168,2024-01-05,20240105_74_05#7B,RANK_7B,"3=1-2,5,4 (axis_sum=1.4)",3,0,0,300,wt,False,,730,,0,,,,,
862253,2024-01-05,20240105_81_03#7B,RANK_7B,"2=3-6,7,5 (axis_sum=1.6)",3,0,0,300,wt,False,,680,,0,,,,,
862299,2024-01-05,20240105_86_09#7B,RANK_7B,"1=2-3,4,5 (axis_sum=1.3)",3,0,0,300,wt,False,,2580,,0,,,,,
862260,2024-01-06,20240106_37_01#7B,RANK_7B,"7=3-4,1,2 (axis_sum=1.3)",3,0,0,300,wt,False,,680,,0,,,,,
862178,2024-01-06,20240106_37_07#7B,RANK_7B,"1=4-5,3,6 (axis_sum=1.4)",3,0,0,300,wt,False,,3260,,0,,,,,
862314,2024-01-06,20240106_37_12#7B,RANK_7B,"1=3-5,2,4 (axis_sum=1.4)",3,1,860,300,wt,False,,860,,0,,,,,
862293,2024-01-06,20240106_71_08#7B,RANK_7B,"2=4-1,7,3 (axis_sum=1.2)",3,0,0,300,wt,False,,3440,,0,,,,,
862228,2024-01-06,20240106_81_06#7B,RANK_7B,"2=7-1,6,3 (axis_sum=1.3)",3,0,0,300,wt,False,,730,,0,,,,,
862164,2024-01-07,20240107_31_08#7B,RANK_7B,"1=2-4,6,5 (axis_sum=1.7)",3,0,0,300,wt,False,,240,,0,,,,,
862321,2024-01-07,20240107_37_01#7B,RANK_7B,"2=3-7,5,4 (axis_sum=1.2)",3,1,440,300,wt,False,,440,,0,,,,,
862159,2024-01-07,20240107_44_02#7B,RANK_7B,"1=2-3,7,5 (axis_sum=1.7)",3,0,0,300,wt,False,,12060,,0,,,,,
862195,2024-01-07,20240107_44_06#7B,RANK_7B,"2=5-3,1,4 (axis_sum=1.3)",3,0,0,300,wt,False,,2800,,0,,,,,
862151,2024-01-07,20240107_44_07#7B,RANK_7B,"7=1-3,4,5 (axis_sum=1.8)",3,1,250,300,wt,False,,250,,0,,,,,
862205,2024-01-07,20240107_44_09#7B,RANK_7B,"3=5-7,2,1 (axis_sum=1.7)",3,1,140,300,wt,False,,140,,0,,,,,
862188,2024-01-07,20240107_47_01#7B,RANK_7B,"4=1-2,5,6 (axis_sum=1.5)",3,0,0,300,wt,False,,4760,,0,,,,,
862218,2024-01-07,20240107_47_05#7B,RANK_7B,"1=2-3,5,6 (axis_sum=1.5)",3,1,1770,300,wt,False,,1770,,0,,,,,
862312,2024-01-07,20240107_47_08#7B,RANK_7B,"1=7-2,6,5 (axis_sum=1.3)",3,0,0,300,wt,False,,970,,0,,,,,
862307,2024-01-07,20240107_71_12#7B,RANK_7B,"1=2-3,7,6 (axis_sum=1.2)",3,0,0,300,wt,False,,1880,,0,,,,,
862213,2024-01-08,20240108_31_05#7B,RANK_7B,"1=2-5,3,6 (axis_sum=1.4)",3,0,0,300,wt,False,,290,,0,,,,,
862242,2024-01-08,20240108_37_10#7B,RANK_7B,"1=4-2,7,3 (axis_sum=1.6)",3,1,230,300,wt,False,,230,,0,,,,,
