id,race_date,race_key,rank,pred_combo,n_combos,hit,payout,bet_amount,route,miwokuri,prerace_gami,trio_payout,gap23,trifecta_payout,gap12,gap34,gate_label,win_rank,ratio
826382,2026-05-10,20260510_75_03#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=8.63)",5,0,0,500,wt,False,,6670,,0,,,,,
826383,2026-05-10,20260510_75_05#7SS,RANK_7SS,"1=2-3,4,5,6,7 (score=8.63)",5,0,0,500,wt,False,,2750,,0,,,,,
826384,2026-05-12,20260512_21_04#7SS,RANK_7SS,"1=3-2,4,5,6,7 (score=8.84)",5,0,0,500,wt,False,,2920,,0,,,,,
826385,2026-05-12,20260512_21_09#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=5.52)",5,0,0,500,wt,False,,1320,,0,,,,,
826386,2026-05-12,20260512_27_08#7SS,RANK_7SS,"5=1-2,3,4,6,7 (score=4.86)",5,0,0,500,wt,False,,13640,,0,,,,,
826387,2026-05-12,20260512_27_09#7SS,RANK_7SS,"5=7-1,2,3,4,6 (score=5.27)",5,0,0,500,wt,False,,1500,,0,,,,,
826388,2026-06-19,20260619_35_12#7SS,RANK_7SS,"5=4-1,2,3,6,7 (score=8.79)",5,0,0,500,wt,False,,1700,,0,,,,,
826389,2026-05-01,20260501_11_09#7SS,RANK_7SS,"7=3-1,2,4,5,6 (score=6.94)",5,1,480,500,wt,False,,480,,0,,,,,
826390,2026-05-12,20260512_56_07#7SS,RANK_7SS,"2=3-1,4,5,6,7 (score=5.08)",5,0,0,500,wt,False,,1470,,0,,,,,
826391,2026-05-12,20260512_37_07#7SS,RANK_7SS,"1=7-2,3,4,5,6 (score=9.28)",5,0,0,500,wt,False,,770,,0,,,,,
826392,2026-05-12,20260512_37_08#7SS,RANK_7SS,"4=1-2,3,5,6,7 (score=9.19)",5,0,0,500,wt,False,,4720,,0,,,,,
826393,2026-05-12,20260512_37_09#7SS,RANK_7SS,"5=3-1,2,4,6,7 (score=6.40)",5,0,0,500,wt,False,,720,,0,,,,,
826394,2026-05-12,20260512_37_10#7SS,RANK_7SS,"4=5-1,2,3,6,7 (score=7.35)",5,1,1450,500,wt,False,,1450,,0,,,,,
826395,2026-05-13,20260513_84_03#7SS,RANK_7SS,"3=5-1,2,4,6,7 (score=6.05)",5,1,810,500,wt,False,,810,,0,,,,,
826396,2026-05-13,20260513_84_04#7SS,RANK_7SS,"1=5-2,3,4,6,7 (score=5.80)",5,0,0,500,wt,False,,1080,,0,,,,,
